"","match_id","team.name","player.id","player.name","position.name","type.name"
"1397",3795108,"Switzerland",16022,"Christian Fassnacht","Left Wing","Substitution"
"1398",3795108,"Switzerland",5537,"Fabian Lukas Schär","Right Center Midfield","Substitution"
"1399",3795108,"Switzerland",16027,"Kevin Mbabu","Right Back","Substitution"
"1400",3795107,"Italy",7036,"Gianluigi Donnarumma","Goalkeeper","Starting XI"
"1401",3795107,"Italy",11514,"Giovanni Di Lorenzo","Right Back","Starting XI"
"1402",3795107,"Italy",7173,"Leonardo Bonucci","Right Center Back","Starting XI"
"1403",3795107,"Italy",6954,"Giorgio Chiellini","Left Center Back","Starting XI"
"1404",3795107,"Italy",8286,"Leonardo Spinazzola","Left Back","Starting XI"
"1405",3795107,"Italy",7024,"Jorge Luiz Frello Filho","Center Defensive Midfield","Starting XI"
"1406",3795107,"Italy",8181,"Nicolò Barella","Right Center Midfield","Starting XI"
"1407",3795107,"Italy",3166,"Marco Verratti","Left Center Midfield","Starting XI"
"1408",3795107,"Italy",7156,"Federico Chiesa","Right Wing","Starting XI"
"1409",3795107,"Italy",7037,"Lorenzo Insigne","Left Wing","Starting XI"
"1410",3795107,"Italy",7788,"Ciro Immobile","Center Forward","Starting XI"
"1411",3795107,"Italy",6993,"Bryan Cristante","Left Center Midfield","Substitution"
"1412",3795107,"Italy",7471,"Andrea Belotti","Center Forward","Substitution"
"1413",3795107,"Italy",7131,"Domenico Berardi","Left Wing","Substitution"
"1414",3795107,"Italy",4355,"Emerson Palmieri dos Santos","Left Back","Substitution"
"1415",3795107,"Italy",7002,"Rafael Tolói","Right Wing","Substitution"
"1416",3795107,"Belgium",3509,"Thibaut Courtois","Goalkeeper","Starting XI"
"1417",3795107,"Belgium",20005,"Toby Alderweireld","Right Center Back","Starting XI"
"1418",3795107,"Belgium",6332,"Thomas Vermaelen","Center Back","Starting XI"
"1419",3795107,"Belgium",3077,"Jan Vertonghen","Left Center Back","Starting XI"
"1420",3795107,"Belgium",3176,"Thomas Meunier","Right Wing Back","Starting XI"
"1421",3795107,"Belgium",5632,"Thorgan Hazard","Left Wing Back","Starting XI"
"1422",3795107,"Belgium",2954,"Youri Tielemans","Right Defensive Midfield","Starting XI"
"1423",3795107,"Belgium",5642,"Axel Witsel","Left Defensive Midfield","Starting XI"
"1424",3795107,"Belgium",3089,"Kevin De Bruyne","Right Attacking Midfield","Starting XI"
"1425",3795107,"Belgium",23650,"Jeremy Doku","Left Attacking Midfield","Starting XI"
"1426",3795107,"Belgium",3289,"Romelu Lukaku Menama","Center Forward","Starting XI"
"1427",3795107,"Belgium",5630,"Dries Mertens","Right Defensive Midfield","Substitution"
"1428",3795107,"Belgium",4831,"Nacer Chadli","Right Wing Back","Substitution"
"1429",3795107,"Belgium",7015,"Dennis Praet","Left Wing Back","Substitution"
"1430",3795109,"Denmark",3815,"Kasper Schmeichel","Goalkeeper","Starting XI"
"1431",3795109,"Denmark",3959,"Andreas Christensen","Right Center Back","Starting XI"
"1432",3795109,"Denmark",5534,"Simon Thorup Kjær","Center Back","Starting XI"
"1433",3795109,"Denmark",8815,"Jannik Vestergaard","Left Center Back","Starting XI"
"1434",3795109,"Denmark",5524,"Jens Stryger Larsen","Right Wing Back","Starting XI"
"1435",3795109,"Denmark",16554,"Joakim Mæhle","Left Wing Back","Starting XI"
"1436",3795109,"Denmark",3570,"Pierre-Emile Højbjerg","Right Defensive Midfield","Starting XI"
"1437",3795109,"Denmark",5527,"Thomas Delaney","Left Defensive Midfield","Starting XI"
"1438",3795109,"Denmark",24443,"Mikkel Damsgaard","Right Attacking Midfield","Starting XI"
"1439",3795109,"Denmark",4447,"Martin Braithwaite Christensen","Left Attacking Midfield","Starting XI"
"1440",3795109,"Denmark",6302,"Kasper Dolberg","Center Forward","Starting XI"
"1441",3795109,"Denmark",5536,"Yussuf Yurary Poulsen","Center Forward","Substitution"
"1442",3795109,"Denmark",7097,"Christian Nørgaard","Right Attacking Midfield","Substitution"
"1443",3795109,"Denmark",6797,"Daniel Wass","Right Wing Back","Substitution"
"1444",3795109,"Denmark",8247,"Joachim Andersen","Right Center Back","Substitution"
"1445",3795109,"Denmark",18722,"Mathias Jensen","Left Center Midfield","Substitution"
"1446",3795109,"Denmark",16554,"Joakim Mæhle","Left Wing Back","Player On"
"1447",3795109,"Denmark",5524,"Jens Stryger Larsen","Right Wing Back","Player On"
"1448",3795109,"Czech Republic",11541,"Tomáš Vaclík","Goalkeeper","Starting XI"
"1449",3795109,"Czech Republic",16570,"Vladimír Coufal","Right Back","Starting XI"
"1450",3795109,"Czech Republic",30328,"Ondrej Celustka","Right Center Back","Starting XI"
"1451",3795109,"Czech Republic",13197,"Tomáš Kalas","Left Center Back","Starting XI"
"1452",3795109,"Czech Republic",4875,"Jan Boril","Left Back","Starting XI"
"1453",3795109,"Czech Republic",16469,"Tomáš Holeš","Right Center Midfield","Starting XI"
"1454",3795109,"Czech Republic",4870,"Tomáš Soucek","Left Center Midfield","Starting XI"
"1455",3795109,"Czech Republic",16472,"Lukáš Masopust","Right Wing","Starting XI"
"1456",3795109,"Czech Republic",7801,"Antonín Barák","Center Attacking Midfield","Starting XI"
"1457",3795109,"Czech Republic",23454,"Petr Ševcík","Left Wing","Starting XI"
"1458",3795109,"Czech Republic",7044,"Patrik Schick","Center Forward","Starting XI"
"1459",3795109,"Czech Republic",16037,"Michael Krmencík","Right Wing","Substitution"
"1460",3795109,"Czech Republic",8095,"Jakub Jankto","Right Center Midfield","Substitution"
"1461",3795109,"Czech Republic",27622,"Jakub Brabec","Right Center Back","Substitution"
"1462",3795109,"Czech Republic",4809,"Matej Vydra","Left Center Forward","Substitution"
"1463",3795109,"Czech Republic",8579,"Vladimír Darida","Right Midfield","Substitution"
"1464",3795109,"Czech Republic",4875,"Jan Boril","Left Back","Player On"
"1465",3795187,"England",3468,"Jordan Pickford","Goalkeeper","Starting XI"
"1466",3795187,"England",3205,"Kyle Walker","Right Back","Starting XI"
"1467",3795187,"England",3244,"John Stones","Right Center Back","Starting XI"
"1468",3795187,"England",3336,"Harry Maguire","Left Center Back","Starting XI"
"1469",3795187,"England",3382,"Luke Shaw","Left Back","Starting XI"
"1470",3795187,"England",4706,"Kalvin Phillips","Right Defensive Midfield","Starting XI"
"1471",3795187,"England",3943,"Declan Rice","Left Defensive Midfield","Starting XI"
"1472",3795187,"England",12423,"Jadon Sancho","Right Wing","Starting XI"
"1473",3795187,"England",7843,"Mason Mount","Center Attacking Midfield","Starting XI"
"1474",3795187,"England",3233,"Raheem Sterling","Left Wing","Starting XI"
"1475",3795187,"England",10955,"Harry Kane","Center Forward","Starting XI"
"1476",3795187,"England",3532,"Jordan Brian Henderson","Left Defensive Midfield","Substitution"
"1477",3795187,"England",3308,"Kieran Trippier","Left Back","Substitution"
"1478",3795187,"England",3318,"Marcus Rashford","Left Wing","Substitution"
"1479",3795187,"England",30714,"Jude Bellingham","Left Defensive Midfield","Substitution"
"1480",3795187,"England",3470,"Dominic Calvert-Lewin","Center Forward","Substitution"
"1481",3795187,"Ukraine",22243,"Heorhii Bushchan","Goalkeeper","Starting XI"
"1482",3795187,"Ukraine",39136,"Illia Zabarnyi","Right Center Back","Starting XI"
"1483",3795187,"Ukraine",18618,"Sergey Krivtsov","Center Back","Starting XI"
"1484",3795187,"Ukraine",18617,"Mykola Matviyenko","Left Center Back","Starting XI"
"1485",3795187,"Ukraine",31900,"Oleksandr Karavaev","Right Wing Back","Starting XI"
"1486",3795187,"Ukraine",20827,"Vitalii Mykolenko","Left Wing Back","Starting XI"
"1487",3795187,"Ukraine",16514,"Serhii Sydorchuk","Center Defensive Midfield","Starting XI"
"1488",3795187,"Ukraine",21294,"Mykola Shaparenko","Right Center Midfield","Starting XI"
"1489",3795187,"Ukraine",3575,"Oleksandr Zinchenko","Left Center Midfield","Starting XI"
"1490",3795187,"Ukraine",8830,"Andriy Yarmolenko","Right Center Forward","Starting XI"
"1491",3795187,"Ukraine",23649,"Roman Yaremchuk","Left Center Forward","Starting XI"
"1492",3795187,"Ukraine",16509,"Viktor Tsygankov","Center Back","Substitution"
"1493",3795187,"Ukraine",16311,"Evgeny Makarenko","Center Defensive Midfield","Substitution"
"1494",3795187,"Ukraine",18617,"Mykola Matviyenko","Left Center Back","Player On"
"1495",3795220,"Spain",11748,"Unai Simón Mendibil","Goalkeeper","Starting XI"
"1496",3795220,"Spain",3957,"César Azpilicueta Tanco","Right Back","Starting XI"
"1497",3795220,"Spain",31953,"Eric García Martret","Right Center Back","Starting XI"
"1498",3795220,"Spain",4353,"Aymeric Laporte","Left Center Back","Starting XI"
"1499",3795220,"Spain",5211,"Jordi Alba Ramos","Left Back","Starting XI"
"1500",3795220,"Spain",5203,"Sergio Busquets i Burgos","Center Defensive Midfield","Starting XI"
"1501",3795220,"Spain",5199,"Jorge Resurrección Merodio","Right Center Midfield","Starting XI"
"1502",3795220,"Spain",30486,"Pedro González López","Left Center Midfield","Starting XI"
"1503",3795220,"Spain",6685,"Mikel Oyarzabal Ugarte","Right Wing","Starting XI"
"1504",3795220,"Spain",6748,"Ferrán Torres García","Left Wing","Starting XI"
"1505",3795220,"Spain",16532,"Daniel Olmo Carvajal","Center Forward","Starting XI"
"1506",3795220,"Spain",3477,"Álvaro Borja Morata Martín","Left Wing","Substitution"
"1507",3795220,"Spain",6766,"Gerard Moreno Balaguero","Right Wing","Substitution"
"1508",3795220,"Spain",6765,"Rodrigo Hernández Cascante","Right Center Midfield","Substitution"
